x	y
3067	2.893e3
3067	2.890e3
3067	2.883e3
3067	2.878e3
3067	2.859e3
3067	2.873e3
3067	2.884e3
3067	2.879e3
3067	2.876e3
3067	2.869e3
3068	2.871e3
3068	2.860e3
3068	2.858e3
3068	2.883e3
3068	2.886e3
3068	2.897e3
3068	2.882e3
3068	2.871e3
3068	2.878e3
3068	2.908e3
3068	2.931e3
3068	2.941e3
3068	2.944e3
3068	2.947e3
3068	2.952e3
3068	2.954e3
3068	2.944e3
3068	2.959e3
3068	2.968e3
3068	2.959e3
3068	2.950e3
3068	2.934e3
3068	2.928e3
3068	2.944e3
3068	2.954e3
3068	2.956e3
3068	2.955e3
3068	2.949e3
3068	2.953e3
3068	2.954e3
3068	2.949e3
3068	2.936e3
3068	2.956e3
3068	2.966e3
3068	2.983e3
3068	3.001e3
3068	3.013e3
3068	3.044e3
3068	3.065e3
3068	3.082e3
3068	3.101e3
3069	3.094e3
3069	3.118e3
3069	3.139e3
3069	3.173e3
3069	3.211e3
3069	3.229e3
3069	3.273e3
3069	3.303e3
3069	3.333e3
3069	3.373e3
3069	3.416e3
3069	3.437e3
3069	3.451e3
3069	3.447e3
3069	3.472e3
3069	3.518e3
3069	3.566e3
3069	3.599e3
3069	3.601e3
3069	3.632e3
3069	3.656e3
3069	3.693e3
3069	3.732e3
3069	3.776e3
3069	3.813e3
3069	3.839e3
3069	3.880e3
3069	3.926e3
3069	3.944e3
3069	3.981e3
3069	4.017e3
3069	4.038e3
3069	4.055e3
3069	4.060e3
3069	4.068e3
3069	4.096e3
3069	4.121e3
3069	4.150e3
3069	4.194e3
3069	4.222e3
3069	4.249e3
3069	4.280e3
3070	4.301e3
3070	4.321e3
3070	4.340e3
3070	4.334e3
3070	4.326e3
3070	4.324e3
3070	4.310e3
3070	4.317e3
3070	4.313e3
3070	4.319e3
3070	4.311e3
3070	4.325e3
3070	4.314e3
3070	4.307e3
3070	4.325e3
3070	4.304e3
3070	4.278e3
3070	4.246e3
3070	4.218e3
3070	4.203e3
3070	4.207e3
3070	4.218e3
3070	4.208e3
3070	4.208e3
3070	4.181e3
3070	4.158e3
3070	4.158e3
3070	4.167e3
3070	4.142e3
3070	4.137e3
3070	4.129e3
3070	4.131e3
3070	4.113e3
3070	4.096e3
3070	4.085e3
3070	4.060e3
3070	4.026e3
3070	4.011e3
3070	3.998e3
3070	3.994e3
3070	4.002e3
3071	4.004e3
3071	4.012e3
3071	4.027e3
3071	4.029e3
3071	4.051e3
3071	4.049e3
3071	4.034e3
3071	4.042e3
3071	4.058e3
3071	4.060e3
3071	4.077e3
3071	4.104e3
3071	4.143e3
3071	4.183e3
3071	4.208e3
3071	4.247e3
3071	4.286e3
3071	4.301e3
3071	4.323e3
3071	4.372e3
3071	4.428e3
3071	4.447e3
3071	4.511e3
3071	4.544e3
3071	4.562e3
3071	4.596e3
3071	4.630e3
3071	4.667e3
3071	4.706e3
3071	4.769e3
3071	4.795e3
3071	4.835e3
3071	4.881e3
3071	4.893e3
3071	4.937e3
3071	4.980e3
3071	4.993e3
3071	5.006e3
3071	5.022e3
3071	5.029e3
3071	5.056e3
3072	5.052e3
3072	5.069e3
3072	5.077e3
3072	5.109e3
3072	5.128e3
3072	5.133e3
3072	5.152e3
3072	5.179e3
3072	5.180e3
3072	5.189e3
3072	5.196e3
3072	5.194e3
3072	5.188e3
3072	5.190e3
3072	5.169e3
3072	5.155e3
3072	5.169e3
3072	5.161e3
3072	5.137e3
3072	5.132e3
3072	5.135e3
3072	5.096e3
3072	5.062e3
3072	5.053e3
3072	5.050e3
3072	5.011e3
3072	4.997e3
3072	4.983e3
3072	4.965e3
3072	4.940e3
3072	4.892e3
3072	4.877e3
3072	4.839e3
3072	4.808e3
3072	4.794e3
3072	4.792e3
3072	4.803e3
3072	4.816e3
3072	4.809e3
3072	4.776e3
3072	4.778e3
3072	4.739e3
3073	4.705e3
3073	4.712e3
3073	4.687e3
3073	4.676e3
3073	4.682e3
3073	4.727e3
3073	4.757e3
3073	4.766e3
3073	4.748e3
3073	4.751e3
3073	4.776e3
3073	4.791e3
3073	4.790e3
3073	4.798e3
3073	4.811e3
3073	4.829e3
3073	4.848e3
3073	4.869e3
3073	4.873e3
3073	4.883e3
3073	4.915e3
3073	4.953e3
3073	4.990e3
3073	5.014e3
3073	5.037e3
3073	5.056e3
3073	5.078e3
3073	5.116e3
3073	5.154e3
3073	5.155e3
